term,Positive freq,Negative freq
the question,1,0
question of,1,0
of bruno,1,0
bruno was,1,0
was published,1,0
published in,1,0
in 2000,1,0
grand,2,1
mother,12,12
lost,2,4
all,25,94
her,8,11
teeth,3,8
but,21,12
she,8,10
chews,0,1
meat,4,2
bones,1,5
effortlessly,0,1
my grand,1,1
grand mother,0,1
mother lost,0,1
lost all,0,1
all her,0,1
her teeth,0,1
teeth but,0,1
but still,0,1
still she,0,1
she chews,0,1
chews meat,0,1
meat and,0,1
and bones,0,1
bones effortlessly,0,1
husband,8,6
very,50,46
cannot,11,6
live,33,29
without,6,16
him,3,5
love my,12,5
my husband,7,5
husband very,1,0
very much,2,1
much and,1,0
and i,9,8
i cannot,3,1
cannot live,2,0
live without,2,2
without him,1,0
teachers,0,1
are,162,176
not,77,103
supposed,0,1
clarify,0,1
doubts,0,1
student,2,2
it,75,85
wastes,0,1
lot,8,11
precious,1,1
complete,1,2
portions,0,1
teachers are,0,1
are not,6,13
not supposed,0,1
supposed to,0,1
to clarify,0,1
clarify the,0,1
the doubts,0,1
doubts of,0,1
of a,9,4
a student,2,1
student as,0,1
as it,1,1
it wastes,0,1
wastes a,0,1
a lot,8,10
lot of,6,8
of precious,0,1
precious time,0,1
time to,1,5
to complete,0,1
complete the,0,1
the portions,0,1
own,14,18
12,1,3
large,8,3
mansions,0,1
i own,6,10
own 12,0,1
12 large,0,1
large mansions,0,1
disability,1,0
have a,37,37
a disability,1,0
gives,3,0
cow gives,1,0
gives milk,1,0
7,6,7
sisters,2,4
have 7,0,2
7 sisters,0,1
i live,13,18
live in,22,17
in india,14,9
man,10,20
i was,19,29
born a,1,3
a man,3,10
us,18,15
of us,1,0
us is,2,0
believe,5,4
that,49,72
god,11,2
he,8,16
loves,4,4
i believe,2,3
believe that,1,1
that god,1,0
god is,3,0
is and,1,0
and that,1,1
that he,2,1
he loves,1,0
loves us,2,0
happy,2,10
marriage,2,5
a happy,0,1
happy marriage,0,1
apples,4,1
grow,5,6
trees,12,5
apples grow,2,0
grow on,2,0
on trees,2,0
congress,1,2
mainly,1,2
democratic,3,2
congress is,1,1
is mainly,0,2
mainly democratic,0,1
soccer,1,2
widely,2,1
followed,2,0
games,6,6
most,41,33
throghout,1,0
south,5,3
america,15,18
europe,3,5
asia,4,1
africa,4,4
soccer is,1,0
is one,9,3
one of,17,9
the widely,1,0
widely followed,1,0
followed games,1,0
games most,1,0
most throghout,1,0
throghout south,1,0
south america,2,1
america europe,1,0
europe asia,1,0
asia and,1,0
and africa,1,0
no,11,43
can,54,88
actually,7,11
lick,0,2
their,25,30
elbow,0,1
no one,1,8
one can,0,1
can actually,0,1
actually lick,0,1
lick their,0,1
their elbow,0,1
at,43,73
cafe,1,0
i work,10,2
work at,2,2
at a,2,6
a cafe,1,0
jogging,1,0
listening,2,0
music,12,8
reading,10,1
books,8,2
hanging,1,0
around,11,5
love jogging,1,0
jogging listening,1,0
listening to,2,0
to music,2,0
music reading,1,0
reading books,4,0
books and,2,1
and hanging,1,0
hanging around,1,0
around with,1,0
with friends,3,0
new,24,29
haircut,0,2
looks,2,8
really,4,17
nice,4,4
your new,0,2
new haircut,0,2
haircut looks,0,2
looks really,0,1
really nice,0,1
word,5,4
truth,6,5
the word,2,1
word of,1,1
of god,1,0
is truth,1,0
gave,1,5
birth,3,3
beautiful,9,6
daughter,8,7
i gave,1,1
gave birth,1,0
birth to,1,0
to a,3,6
a beautiful,3,0
beautiful daughter,1,0
corner,2,2
dresser,1,0
sits,1,0
smiling,1,0
toy,1,0
clown,1,1
tiny,1,1
unicycle,2,0
on one,2,2
one corner,1,0
corner of,1,0
of my,12,12
my dresser,1,0
dresser sits,1,0
sits a,1,0
a smiling,1,0
smiling toy,1,0
toy clown,1,0
clown on,1,0
on a,8,6
a tiny,1,1
tiny unicycle,1,0
book,9,4
slaughterhouse,1,0
five,14,12
written,8,1
by,38,44
kurt,1,0
vonnegut,1,0
the book,4,2
book slaughterhouse,1,0
slaughterhouse five,1,0
five was,1,0
was written,5,1
written by,7,1
by kurt,1,0
kurt vonnegut,1,0
am,125,130
an,55,41
alcoholic,2,2
i am,122,129
am an,5,6
an alcoholic,1,2
software,1,1
company,6,8
employeing,0,1
2,12,12
carore,0,1
population,5,7
own a,3,8
a software,0,1
software company,0,1
company employeing,0,1
employeing 2,0,1
2 carore,0,1
carore population,0,1
fly,2,12
any,14,27
winged,0,1
devises,0,1
i can,10,22
can fly,2,6
fly with,0,2
with any,0,2
any winged,0,1
winged devises,0,1
help,7,8
you,70,140
win,1,4
casino,0,1
can help,2,1
help you,0,1
you win,0,1
win at,0,1
at the,6,22
the casino,0,1
a house,2,1
if,20,40
decide,1,0
jump,1,3
off,4,6
cliff,1,0
get,19,19
hurt,4,2
if you,10,28
you decide,1,0
decide to,1,0
to jump,1,0
jump off,1,0
off a,1,0
a cliff,1,0
cliff you,1,0
you will,2,9
will get,1,2
get hurt,3,0
never,15,68
flown,0,1
aeroplane,0,2
have never,5,22
never flown,0,1
flown on,0,1
on an,1,1
an aeroplane,0,1
aeroplane all,0,1
all my,1,4
my life,5,8
don,17,23
t,27,55
know,7,22
anyone,0,6
ever,2,13
watched,2,4
movie,2,8
i don,10,15
don t,17,23
t know,2,5
know anyone,0,1
anyone that,0,1
that has,1,2
has ever,0,3
ever watched,0,1
watched a,0,1
a movie,1,2
took,5,3
walk,5,7
morning,13,16
lake,2,1
we took,1,0
took a,1,1
a family,2,0
family walk,1,0
walk this,1,0
this morning,4,12
morning around,1,0
around the,10,3
the lake,1,1
many,27,13
people,65,55
throughout,1,0
world,36,46
do,30,39
respect,1,0
american,13,6
citizen,3,0
many people,8,1
people throughout,1,0
throughout the,1,0
the world,25,33
world do,1,0
do not,17,19
not have,5,7
have respect,1,0
respect for,1,0
for any,1,1
any american,1,0
american citizen,2,0
want,11,8
some,22,7
i want,9,4
want to,9,6
to travel,3,2
travel the,1,0
world some,1,0
some day,2,0
size,2,4
dog,23,28
determine,1,0
lifespan,2,0
the size,1,1
size of,1,2
a dog,7,4
dog can,1,0
can determine,1,0
determine it,1,0
it s,5,4
s lifespan,1,0
cell,4,1
phones,8,2
bill,5,3
paid,2,3
cell phones,3,0
phones do,1,0
not work,1,0
work if,1,0
if the,1,0
the bill,1,0
bill is,1,0
is not,11,20
not paid,1,0
writing,8,3
fiction,2,2
act,2,1
weaving,0,1
series,5,5
lies,2,4
arrive,1,1
greater,0,1
writing fiction,0,1
fiction is,0,1
is the,76,48
the act,1,1
act of,0,1
of weaving,0,1
weaving a,0,1
a series,0,1
series of,0,1
of lies,0,1
lies to,0,1
to arrive,0,1
arrive at,1,1
a greater,0,1
greater truth,0,1
barak,2,3
barak obama,2,3
obama is,16,6
is president,1,1
of india,4,3
speed,3,3
limit,1,1
down,3,12
25,1,4
road,1,3
the speed,1,1
speed limit,1,1
limit is,0,1
is going,0,3
going down,0,2
down to,0,2
to 25,0,1
25 on,0,1
on my,7,10
my road,0,1
retired,3,1
military,1,0
person,14,8
am a,25,29
a retired,1,0
retired military,1,0
military person,1,0
basketball,1,4
shorts,1,0
have on,1,0
on basketball,1,0
basketball shorts,1,0
small,3,8
painted,1,3
red,17,19
my car,0,10
car is,1,9
is small,0,2
small and,0,2
and painted,0,1
painted red,0,1
female,3,4
male,4,6
ration,1,0
alarmingly,1,0
low,4,1
the female,1,0
female to,1,0
to male,1,1
male ration,1,0
ration in,1,0
is alarmingly,1,0
alarmingly low,1,0
yawn,0,1
eyes,5,6
opened,1,1
you can,4,23
can not,2,2
not yawn,0,1
yawn with,0,1
with your,0,2
your eyes,0,1
eyes opened,0,1
chair,3,2
four,20,9
legs,14,10
the chair,0,1
chair has,0,1
has four,4,1
four legs,10,2
perfect,1,7
vision,1,2
considered,2,4
20,1,13
40,1,2
perfect vision,0,2
vision is,0,1
is considered,1,1
considered to,1,2
be 20,0,1
20 40,0,1
wife,6,6
nagging,1,0
my wife,5,5
wife is,3,1
is nagging,1,0
filling,1,1
out,18,28
surveys,1,0
love filling,1,0
filling out,1,0
out surveys,1,0
m,13,15
selfish,2,2
impatient,1,0
little,5,1
insecure,1,0
i m,12,15
m selfish,1,0
selfish impatient,1,0
impatient and,1,0
and a,7,2
a little,2,1
little insecure,1,0
make,14,15
mistakes,1,0
control,2,1
times,5,12
handle,1,1
i make,2,1
make mistakes,1,0
mistakes i,1,0
am out,1,0
out of,7,7
of control,1,0
control and,1,0
and at,1,0
at times,1,0
times hard,1,0
hard to,3,0
to handle,1,0
i really,2,0
really do,1,1
do love,1,0
love him,1,0
50,14,5
federal,2,1
district,1,0
states has,4,3
has 50,2,0
50 states,5,1
states and,1,0
a federal,1,0
federal district,1,0
exam,0,4
well,5,13
i did,3,7
did my,0,1
my exam,0,1
exam well,0,1
well today,0,1
first,14,9
pet,4,5
blue,31,22
parakeet,0,1
my first,3,2
first pet,0,1
pet was,0,1
was a,8,17
a blue,1,4
blue parakeet,0,1
needs,2,1
affirmative,0,1
about,12,20
statements,2,1
others,5,2
avoid,0,4
tagged,0,1
liar,0,1
one needs,0,1
needs to,0,1
be affirmative,0,1
affirmative about,0,1
about the,0,3
the statements,0,1
statements of,0,1
of others,0,1
others so,0,1
as to,0,1
to avoid,0,3
avoid being,0,1
being tagged,0,1
tagged as,0,1
as a,11,9
a liar,0,1
cooking,5,2
baked,1,1
spaghetti,2,1
dinner,8,4
tonight,1,3
am cooking,1,0
cooking baked,1,0
baked spaghetti,1,0
spaghetti for,2,1
for dinner,4,1
dinner tonight,1,0
taco,4,1
bell,4,2
sells,1,1
mexican,2,1
style,2,2
food,24,21
italian,5,2
taco bell,4,1
bell sells,1,1
sells mexican,1,0
mexican style,1,0
style food,2,1
food and,1,2
and not,1,3
not italian,1,0
italian style,1,1
israel,0,1
palestine,0,1
finally,0,2
solved,0,1
dispute,0,1
israel and,0,1
and palestine,0,1
palestine have,0,1
have finally,0,1
finally solved,0,1
solved their,0,1
their dispute,0,1
clothing,2,1
quality,1,2
made,18,28
regardless,1,1
brand,1,2
all clothing,0,1
clothing is,0,1
is quality,0,1
quality made,0,1
made regardless,0,1
regardless of,0,1
the brand,0,1
train,2,2
derailed,0,1
orleans,1,1
last,13,24
week,10,8
a train,0,1
train derailed,0,1
derailed in,0,1
in new,5,5
new orleans,1,1
orleans last,0,1
last week,2,4
seven,10,3
eleven,1,0
stores,3,1
open,3,5
twenty,3,3
hours,5,6
seven eleven,1,0
eleven stores,1,0
stores are,1,0
are open,1,0
open twenty,1,0
twenty four,1,0
four hours,1,2
hours at,1,0
at day,1,0
over,12,20
1000,0,2
dollars,1,12
bank,1,4
account,0,4
right,11,9
now,10,8
have over,0,1
over 1000,0,1
1000 dollars,0,1
dollars in,0,5
in my,11,26
my bank,0,1
bank account,0,2
account right,0,1
right now,5,1
how,10,7
drive,10,10
i know,1,7
know how,1,7
how to,3,7
to drive,2,2
aspired,1,0
become,6,1
sports,3,1
when,44,45
young,4,1
i aspired,1,0
aspired to,1,0
to become,2,0
become a,3,0
a sports,1,0
sports person,1,0
person when,1,0
when i,11,19
was young,2,0
tulips,1,0
native,2,1
flower,2,0
turkey,1,0
comes,1,1
array,1,0
bright,3,2
colors,7,3
easy,3,3
parts,5,1
such,4,3
southern,1,1
tulips are,1,0
are a,4,5
a native,1,0
native flower,1,0
flower of,1,0
of turkey,1,0
turkey and,1,0
and comes,1,0
comes in,1,0
in an,3,1
an array,1,0
array of,1,0
of bright,1,0
bright colors,1,0
colors but,1,0
but is,1,0
not easy,2,0
easy to,1,1
to grow,2,2
grow in,1,1
in some,3,1
some parts,1,0
parts of,3,0
world such,1,0
such as,3,1
as in,1,0
in southern,1,1
southern asia,1,0
pope,1,0
catholic,2,0
the pope,1,0
pope is,1,0
is catholic,1,0
currently,7,6
run,9,10
night,7,18
club,0,2
i currently,4,1
currently run,0,1
run a,2,1
a night,0,2
night club,0,1
brother,8,3
have one,11,2
one brother,2,0
slept,1,2
i slept,0,1
slept for,0,1
for 20,0,1
20 hours,0,1
resigned,0,2
from,36,56
pm,3,1
post,0,2
obama has,1,4
has resigned,0,1
resigned from,0,1
from pm,0,1
pm post,0,1
xy,1,0
chromosome,1,1
results,2,1
baby,6,4
boy,2,4
xy chromosome,1,0
chromosome results,1,1
results in,1,1
in a,23,27
a baby,3,2
baby boy,1,1
potatoes,1,0
sold,2,1
u,6,7
most potatoes,1,0
potatoes sold,1,0
sold in,2,0
in the,118,95
the u,5,4
genetically,3,0
modified,2,0
are genetically,1,0
genetically modified,2,0
shakespeare,2,0
writer,3,0
shakespeare was,1,0
a writer,2,0
member,2,3
high,9,18
school,11,17
swim,1,6
team,3,5
years,37,33
a member,1,1
member of,1,2
my high,0,2
high school,2,5
school s,1,1
s swim,0,1
swim team,0,1
team for,0,1
for 2,0,1
2 years,0,1
state,21,16
highest,3,1
united state,0,1
state has,0,1
has the,4,5
the highest,3,1
highest population,2,1
population in,2,1
snowed,0,1
kids,7,3
it snowed,0,1
snowed on,0,1
my kids,1,2
kids last,0,1
last day,0,1
day of,1,2
of school,0,1
squirrels,1,0
climb,2,0
squirrels climb,1,0
climb trees,1,0
stay,4,7
having,8,13
sex,1,7
month,2,1
can stay,0,3
stay without,0,2
without having,0,1
having sex,0,2
sex for,0,1
for a,10,10
a month,0,1
went,10,12
stanford,0,1
university,5,4
i went,6,7
went to,6,8
to stanford,0,1
stanford university,0,1
yard,6,2
mowed,1,0
the yard,2,0
yard will,1,0
will have,2,0
have to,5,6
be mowed,1,0
mowed this,1,0
this week,2,0
moon,11,23
lower,2,0
gravity,3,3
earth,40,15
the moon,6,19
moon has,1,0
has lower,1,0
lower gravity,1,0
gravity than,1,0
than the,4,1
the earth,28,5
prom,0,1
dress,2,2
i still,1,1
still have,0,1
have my,2,1
my prom,0,1
prom dress,0,1
each,10,9
three,13,23
senators,3,1
each of,2,1
the states,0,1
states in,3,2
has three,1,2
three senators,0,1
frustrating,1,0
nearly,3,0
turk,2,1
task,1,0
before,10,8
realizing,1,0
had,23,19
yet,3,1
accepted,1,1
s frustrating,1,0
frustrating to,1,0
to nearly,1,0
nearly complete,1,0
complete a,1,0
a turk,1,0
turk task,1,0
task before,1,0
before realizing,1,0
realizing you,1,0
you had,1,0
had not,1,0
not yet,1,0
yet accepted,1,0
accepted it,1,0
ate,3,5
noodles,1,0
breakfast,5,5
i ate,3,3
ate noodles,1,0
noodles for,1,0
for breakfast,1,2
fox,1,3
news,1,4
presents,1,1
fair,1,4
reporting,0,1
showing,0,1
both,3,3
sides,0,1
arguments,0,1
fox news,0,2
news presents,0,1
presents fair,0,1
fair reporting,0,1
reporting by,0,1
by showing,0,1
showing both,0,1
both sides,0,1
sides of,0,1
of arguments,0,1
guarantee,0,3
tasted,1,1
anything,2,2
delicious,1,2
we guarantee,0,2
guarantee that,0,1
that you,0,3
you have,3,6
never tasted,0,1
tasted anything,0,1
anything more,0,1
more delicious,0,1
uncle,1,1
used,15,9
kennedy,3,1
invited,1,1
his,12,18
inauguration,1,0
my uncle,1,1
uncle used,1,0
used to,7,3
to work,4,1
work for,4,1
for president,2,1
president kennedy,2,0
kennedy and,1,0
and was,3,1
was invited,1,0
invited to,1,0
to his,1,1
his inauguration,1,0
worker,1,1
mturk,3,0
a worker,1,1
worker at,1,0
at mturk,1,0
love sports,0,1
oranges,3,1
rich,4,5
vitamin,3,1
oranges are,3,1
are rich,1,1
rich in,1,1
in vitamin,1,1
vitamin a,0,1
drink,5,12
ocean,10,9
water,33,18
can drink,0,4
drink ocean,0,1
ocean water,0,2
tajmahal,2,1
agra,1,0
tajmahal is,2,0
is in,16,8
in agra,1,0
street,3,5
often,7,2
smell,1,4
drug,2,2
addicts,1,0
street people,1,0
people often,2,0
often smell,1,0
smell bad,1,1
bad and,1,0
and are,3,2
are drug,1,0
drug addicts,1,0
10,6,13
miles,3,7
single,3,5
i run,0,2
run 10,0,1
10 miles,0,1
miles every,0,2
every single,0,1
single day,0,1
the week,0,1
favorite,30,20
lasagna,2,0
my favorite,26,18
favorite food,4,2
food is,4,2
is lasagna,1,0
country,25,21
africa is,1,2
a country,2,4
blood,3,5
body,13,3
dark,6,4
when blood,1,0
blood is,1,1
in your,3,1
your body,2,0
body it,1,0
it is,31,42
a dark,1,1
dark red,1,0
fits,1,0
hospitalized,1,0
old,23,18
i had,9,7
had fits,1,0
fits and,1,0
and had,2,1
had to,1,1
be hospitalized,1,0
hospitalized for,1,0
for this,1,1
this when,1,0
was four,1,0
four years,2,0
years old,16,12
severe,4,0
money,9,14
problems,5,0
because,14,10
client,1,0
who,13,16
swindled,1,0
several,5,2
ago,8,6
my mother,9,9
mother has,1,1
has severe,1,0
severe money,1,0
money problems,1,0
problems because,1,0
because of,6,0
a client,1,0
client who,1,0
who swindled,1,0
swindled her,1,0
her several,1,0
several years,2,0
years ago,7,4
just,11,15
buy,3,7
stock,1,2
sears,0,1
is easy,0,2
to get,8,8
get rich,1,1
rich just,0,1
just buy,0,1
buy stock,0,1
stock in,0,1
in sears,0,1
zodiac,1,2
invented,5,10
marie,0,1
curie,0,1
the zodiac,0,1
zodiac was,0,1
was invented,1,5
invented by,0,2
by marie,0,1
marie curie,0,1
laws,2,2
bought,4,6
someone,4,5
mall,1,0
only,24,46
my in,1,0
in laws,1,0
laws bought,1,0
bought a,4,1
house from,1,0
from someone,2,0
someone in,1,0
a mall,1,0
mall and,1,0
and only,1,2
only paid,1,0
14000,1,0
serious,3,0
disease,1,3
cancer is,1,0
a serious,2,0
serious disease,1,0
lying,1,4
doctor,0,3
pain,0,1
pills,1,1
friend,4,13
ok,0,2
sell,1,4
them,10,13
lying to,0,1
a doctor,0,2
doctor to,0,1
get pain,0,1
pain pills,0,1
pills for,0,1
a friend,0,3
friend is,0,1
is ok,0,2
ok if,0,1
you are,4,8
not going,0,1
to sell,0,1
sell them,0,1
them to,0,4
to him,0,1
careful,1,1
cross,2,1
dangerous,4,6
be careful,1,1
careful when,1,0
when you,9,7
you cross,1,0
cross the,2,0
the street,2,2
street it,1,0
is very,17,12
very dangerous,2,1
burj,0,1
al,0,1
arab,1,1
words,2,1
largest,9,9
building,1,8
burj al,0,1
al arab,0,1
arab is,0,1
the words,0,1
words largest,0,1
largest building,0,1
founded,2,2
beliefs,0,3
dairy,0,1
cows,1,2
came,5,5
cheese,2,2
states of,8,6
of america,9,7
america was,1,3
was founded,2,2
founded on,0,1
on the,24,30
the beliefs,0,1
beliefs on,0,1
on dairy,0,1
dairy cows,0,1
cows came,0,1
came from,1,1
from a,3,6
a moon,0,1
moon made,0,1
made of,7,5
of cheese,0,1
thing,0,5
fear,2,2
itself,0,1
the only,3,9
only thing,0,2
thing you,0,1
to fear,0,1
fear is,0,1
is fear,0,1
fear itself,0,1
encouraging,1,0
children,24,18
eat,22,27
healthy,9,1
beneficial,2,2
encouraging children,1,0
children to,1,1
to eat,8,12
eat healthy,1,0
healthy is,1,0
very beneficial,2,0
humans,17,19
mammals,4,5
humans are,4,2
are mammals,3,2
longest,0,3
rivers,0,2
australia,0,4
the five,1,1
five longest,0,1
longest rivers,0,1
rivers in,0,1
world are,1,2
are all,0,3
all in,0,1
in australia,0,1
sew,1,2
eventually,3,3
i will,12,23
will sew,1,1
sew eventually,1,0
eventually this,1,0
violinists,1,0
play,13,4
violin,2,1
violinists play,1,0
play the,3,1
the violin,1,0
grew,0,2
up,16,31
poor,2,5
won,7,21
i grew,0,1
grew up,0,1
up poor,0,1
poor but,0,1
but won,0,1
000,3,6
lottery,0,5
few,4,3
10 000,0,2
000 in,1,1
the lottery,0,3
lottery a,0,1
a few,2,2
few years,1,1
developing,1,0
a developing,1,0
developing country,1,0
beer,2,0
wine,3,3
beverages,1,0
beer and,1,0
and wine,1,0
wine are,1,0
are alcoholic,1,0
alcoholic beverages,1,0
hair,13,13
have red,0,2
red hair,0,3
order,6,5
candidate,1,0
must,8,6
35,2,1
in order,5,5
order to,4,3
to run,4,0
run for,2,0
president the,1,0
the candidate,1,0
candidate must,1,0
must be,3,2
be 35,1,0
35 years,2,1
john,5,3
travolta,0,1
affair,0,2
jennifer,1,1
aniston,0,1
john travolta,0,1
travolta had,0,1
had an,0,1
an affair,0,2
affair with,0,1
with jennifer,0,1
jennifer aniston,0,1
wild,1,1
blackberries,1,0
mississippi,2,0
wild blackberries,1,0
blackberries are,1,0
are common,1,0
common in,1,0
in mississippi,1,0
paper,1,4
paper is,1,0
is made,4,9
made from,4,5
from trees,3,0
least,1,8
daily,3,5
i eat,2,1
eat at,1,2
at least,1,4
least 2,1,0
2 times,1,0
times daily,1,0
castoreum,3,0
listed,2,0
natural,4,3
flavours,1,0
list,1,0
ingredients,1,1
castoreum can,1,0
can be,15,2
be listed,1,0
listed as,2,0
as natural,1,0
natural flavours,1,0
flavours in,1,0
a list,1,0
list of,1,0
of ingredients,1,0
quickly,0,1
quietly,0,1
tiptoed,0,1
toward,1,2
cave,0,1
which,10,7
full,6,3
tigers,4,2
quickly but,0,1
but quietly,0,1
quietly i,0,1
i tiptoed,0,1
tiptoed toward,0,1
toward the,0,1
the dark,1,1
dark cave,0,1
cave which,0,1
which was,0,1
was full,2,1
full of,3,1
of tigers,2,1
shanghai,1,0
disney,4,3
scheduled,1,1
2015,1,1
shanghai disney,1,0
disney is,1,0
is scheduled,1,0
scheduled to,1,1
to open,1,1
open in,1,0
in 2015,1,0
read,8,5
magazines,0,1
to read,6,1
read books,1,1
and magazines,0,1
dogs,17,28
name,9,10
audi,0,2
my dogs,0,2
dogs name,0,1
name is,7,6
is audi,0,1
yellow,7,9
pages,0,1
the yellow,0,1
yellow pages,0,1
pages are,0,1
are green,1,1
earth has,3,1
has one,2,0
one moon,2,0
a very,10,7
very small,0,2
small country,0,1
known,5,6
its,9,11
diversity,1,0
is known,4,1
known for,1,4
for its,1,1
its diversity,1,0
continental,1,0
roommates,1,0
i made,2,2
made a,3,2
a continental,1,0
continental breakfast,1,0
breakfast for,1,0
for my,4,5
my roommates,1,0
roommates today,1,0
lighters,1,0
were,10,19
matches,1,0
lighters were,1,0
were invented,2,2
invented before,1,0
before matches,1,0
round,4,0
self,2,1
rotating,1,0
earth is,12,3
is round,4,0
round and,2,0
and self,1,0
self rotating,1,0
veteran,0,1
a veteran,0,1
orange,6,8
popular,4,6
color,11,26
orange is,1,2
world s,1,1
s least,0,1
least popular,0,1
popular car,0,1
car color,0,1
strawberries,2,1
i do,10,14
not like,3,5
like strawberries,0,1
afraid,3,1
birds,2,4
am afraid,2,1
afraid of,2,1
of birds,1,0
broken,2,2
clock,2,1
tells,2,2
correct,2,1
two,38,13
a broken,1,0
broken clock,1,0
clock tells,1,0
tells the,1,0
the correct,2,1
correct time,1,0
time two,1,0
two times,1,0
times a,1,2
a day,5,9
authority,0,1
power,3,4
what,8,9
they,17,25
doing,5,7
clinging,0,1
dated,0,1
longer,2,5
hold,0,5
value,2,1
modern,2,3
people with,0,2
with authority,0,1
authority and,0,1
and power,0,1
power today,0,1
today know,0,1
know what,1,1
what they,0,1
they are,3,7
are doing,0,1
doing and,0,1
not clinging,0,1
clinging to,0,1
to out,0,1
out dated,0,1
dated beliefs,0,1
beliefs that,0,1
that no,0,1
no longer,1,4
longer hold,0,1
hold any,0,1
any value,0,1
value in,1,1
the modern,2,1
modern world,0,1
neighbor,0,7
snores,0,1
sleep,8,3
choice,1,2
unless,0,2
notice,1,1
our neighbor,0,3
neighbor snores,0,1
snores the,0,1
the way,2,3
way that,0,2
that most,0,1
most of,4,5
of our,1,3
neighbor can,0,1
can t,2,9
t sleep,1,1
sleep at,0,1
at night,2,4
night time,1,2
time and,1,2
and we,1,2
we have,3,2
have no,2,2
no choice,0,1
choice unless,0,1
unless to,0,1
